GroupSize,DeltaValue,Percentile,SharedMovies
2,0.000,100.0,407
2,0.000,100.0,407
2,0.000,100.0,21
2,0.000,100.0,21
2,0.000,100.0,11
2,0.000,99.9,11
2,0.000,99.9,405
2,0.000,99.9,405
2,0.000,99.9,7
2,0.000,99.9,7
2,0.000,99.9,5
2,0.000,99.9,5
2,0.000,99.9,225
2,0.000,99.9,225
2,0.000,99.9,8
2,0.000,99.8,8
2,0.000,99.8,21
2,0.000,99.8,21
2,0.000,99.8,412
2,0.000,99.8,412
2,0.000,99.8,10
2,0.000,99.8,10
2,0.000,99.8,280
2,0.000,99.8,280
2,0.000,99.8,75
2,0.000,99.7,75
2,0.000,99.7,15
2,0.000,99.7,15
2,0.000,99.7,121
2,0.000,99.7,121
2,0.000,99.7,136
2,0.000,99.7,136
2,0.000,99.7,1103
2,0.000,99.7,1103
2,0.001,99.7,550
2,0.001,99.6,550
2,0.001,99.6,437
2,0.001,99.6,437
2,0.001,99.6,764
2,0.001,99.6,764
2,0.001,99.6,1815
2,0.001,99.6,1815
2,0.002,99.6,921
2,0.002,99.6,921
2,0.002,99.6,457
2,0.002,99.5,457
2,0.002,99.5,448
2,0.002,99.5,448
2,0.003,99.5,796
2,0.003,99.5,796
2,0.003,99.5,782
2,0.003,99.5,782
2,0.003,99.5,375
2,0.003,99.5,375
2,0.003,99.5,930
2,0.003,99.4,930
2,0.003,99.4,171
2,0.003,99.4,171
2,0.003,99.4,1005
2,0.003,99.4,1005
2,0.003,99.4,162
2,0.003,99.4,162
2,0.003,99.4,317
2,0.003,99.4,317
2,0.003,99.4,146
2,0.003,99.3,146
2,0.003,99.3,286
2,0.003,99.3,286
2,0.004,99.3,282
2,0.004,99.3,282
2,0.004,99.3,271
2,0.004,99.3,271
2,0.004,99.3,539
2,0.004,99.3,539
2,0.004,99.3,799
2,0.004,99.2,799
2,0.004,99.2,131
2,0.004,99.2,131
2,0.004,99.2,260
2,0.004,99.2,260
2,0.004,99.2,249
2,0.004,99.2,249
2,0.004,99.2,118
2,0.004,99.2,118
2,0.004,99.2,115
2,0.004,99.1,115
2,0.004,99.1,339
2,0.004,99.1,339
2,0.005,99.1,108
2,0.005,99.1,108
2,0.005,99.1,316
2,0.005,99.1,316
2,0.005,99.1,508
2,0.005,99.1,508
2,0.005,99.1,200
2,0.005,99.0,200
2,0.005,99.0,296
2,0.005,99.0,296
2,0.005,99.0,292
2,0.005,99.0,292
2,0.005,99.0,94
2,0.005,99.0,94
2,0.005,99.0,188
2,0.005,99.0,188
2,0.005,99.0,2003
2,0.005,98.9,2003
2,0.006,98.9,90
2,0.006,98.9,90
2,0.006,98.9,346
2,0.006,98.9,346
2,0.006,98.9,338
2,0.006,98.9,338
2,0.006,98.9,338
2,0.006,98.9,338
2,0.006,98.9,83
2,0.006,98.8,83
2,0.006,98.8,245
2,0.006,98.8,245
2,0.006,98.8,78
2,0.006,98.8,78
2,0.007,98.8,531
2,0.007,98.8,531
2,0.007,98.8,373
2,0.007,98.8,373
2,0.007,98.8,296
2,0.007,98.7,296
2,0.007,98.7,1107
2,0.007,98.7,1107
2,0.007,98.7,439
2,0.007,98.7,439
2,0.007,98.7,365
2,0.007,98.7,365
2,0.007,98.7,140
2,0.007,98.7,140
2,0.007,98.7,350
2,0.007,98.6,350
2,0.007,98.6,140
2,0.007,98.6,140
2,0.007,98.6,140
2,0.007,98.6,140
2,0.007,98.6,136
2,0.007,98.6,136
2,0.007,98.6,270
2,0.007,98.6,270
2,0.007,98.5,402
2,0.007,98.5,402
2,0.008,98.5,656
2,0.008,98.5,656
2,0.008,98.5,195
2,0.008,98.5,195
2,0.008,98.5,321
2,0.008,98.5,321
2,0.008,98.5,448
2,0.008,98.5,448
2,0.008,98.4,249
2,0.008,98.4,249
2,0.008,98.4,183
2,0.008,98.4,183
2,0.008,98.4,120
2,0.008,98.4,120
2,0.008,98.4,478
2,0.008,98.4,478
2,0.008,98.4,1546
2,0.008,98.4,1546
2,0.008,98.3,295
2,0.008,98.3,295
2,0.009,98.3,58
2,0.009,98.3,58
2,0.009,98.3,400
2,0.009,98.3,400
2,0.009,98.3,956
2,0.009,98.3,956
2,0.009,98.3,668
2,0.009,98.3,668
2,0.009,98.2,222
2,0.009,98.2,222
2,0.009,98.2,1437
2,0.009,98.2,1437
2,0.009,98.2,1160
2,0.009,98.2,1160
2,0.009,98.2,55
2,0.009,98.2,55
2,0.009,98.2,220
2,0.009,98.2,220
2,0.009,98.1,110
2,0.009,98.1,110
2,0.009,98.1,1373
2,0.009,98.1,1373
2,0.009,98.1,708
2,0.009,98.1,708
2,0.009,98.1,1249
2,0.009,98.1,1249
2,0.009,98.1,428
2,0.009,98.1,428
2,0.009,98.0,160
2,0.009,98.0,160
2,0.009,98.0,532
2,0.009,98.0,532
2,0.009,98.0,319
2,0.009,98.0,319
2,0.010,98.0,421
2,0.010,98.0,421
2,0.010,98.0,105
2,0.010,98.0,105
2,0.010,97.9,315
2,0.010,97.9,315
2,0.010,97.9,260
2,0.010,97.9,260
2,0.010,97.9,1374
2,0.010,97.9,1374
2,0.010,97.9,699
2,0.010,97.9,699
2,0.010,97.9,387
2,0.010,97.9,387
2,0.011,97.8,761
2,0.011,97.8,761
2,0.011,97.8,190
2,0.011,97.8,190
2,0.011,97.8,469
2,0.011,97.8,469
2,0.011,97.8,273
2,0.011,97.8,273
2,0.011,97.8,90
2,0.011,97.8,90
2,0.011,97.7,266
2,0.011,97.7,266
2,0.011,97.7,133
2,0.011,97.7,133
2,0.011,97.7,307
2,0.011,97.7,307
2,0.012,97.7,1978
2,0.012,97.7,1978
2,0.012,97.7,1199
2,0.012,97.7,1199
2,0.012,97.6,597
2,0.012,97.6,597
2,0.012,97.6,339
2,0.012,97.6,339
2,0.012,97.6,126
2,0.012,97.6,126
2,0.012,97.6,414
2,0.012,97.6,414
2,0.012,97.6,406
2,0.012,97.6,406
2,0.013,97.5,40
2,0.013,97.5,40
2,0.013,97.5,118
2,0.013,97.5,118
2,0.013,97.5,783
2,0.013,97.5,783
2,0.013,97.5,77
2,0.013,97.5,77
2,0.013,97.5,269
2,0.013,97.5,269
2,0.013,97.4,153
2,0.013,97.4,153
2,0.013,97.4,266
2,0.013,97.4,266
2,0.013,97.4,114
2,0.013,97.4,114
2,0.013,97.4,1087
2,0.013,97.4,1087
2,0.013,97.4,187
2,0.013,97.4,187
2,0.014,97.3,185
2,0.014,97.3,185
2,0.014,97.3,619
2,0.014,97.3,619
2,0.014,97.3,3284
2,0.014,97.3,3284
2,0.014,97.3,814
2,0.014,97.3,814
2,0.014,97.3,35
2,0.014,97.3,35
2,0.014,97.2,70
2,0.014,97.2,70
2,0.015,97.2,308
2,0.015,97.2,308
2,0.015,97.2,170
2,0.015,97.2,170
2,0.015,97.2,135
2,0.015,97.2,135
2,0.015,97.2,1019
2,0.015,97.1,1019
2,0.015,97.1,355
2,0.015,97.1,355
2,0.016,97.1,2596
2,0.016,97.1,2596
2,0.016,97.1,32
2,0.016,97.1,32
2,0.016,97.1,190
2,0.016,97.1,190
2,0.016,97.1,253
2,0.016,97.0,253
2,0.016,97.0,595
2,0.016,97.0,595
2,0.016,97.0,122
2,0.016,97.0,122
2,0.016,97.0,213
2,0.016,97.0,213
2,0.017,97.0,452
2,0.017,97.0,452
2,0.017,97.0,331
2,0.017,96.9,331
2,0.017,96.9,60
2,0.017,96.9,60
2,0.017,96.9,30
2,0.017,96.9,30
2,0.017,96.9,238
2,0.017,96.9,238
2,0.017,96.9,89
2,0.017,96.9,89
2,0.017,96.9,326
2,0.017,96.8,326
2,0.017,96.8,263
2,0.017,96.8,263
2,0.017,96.8,115
2,0.017,96.8,115
2,0.018,96.8,314
2,0.018,96.8,314
2,0.018,96.8,428
2,0.018,96.8,428
2,0.018,96.8,28
2,0.018,96.7,28
2,0.018,96.7,140
2,0.018,96.7,140
2,0.018,96.7,84
2,0.018,96.7,84
2,0.018,96.7,252
2,0.018,96.7,252
2,0.018,96.7,607
2,0.018,96.7,607
2,0.018,96.7,137
2,0.018,96.6,137
2,0.019,96.6,644
2,0.019,96.6,644
2,0.019,96.6,134
2,0.019,96.6,134
2,0.019,96.6,320
2,0.019,96.6,320
2,0.019,96.6,53
2,0.019,96.6,53
2,0.019,96.6,418
2,0.019,96.5,418
2,0.019,96.5,26
2,0.019,96.5,26
2,0.019,96.5,104
2,0.019,96.5,104
2,0.019,96.5,830
2,0.019,96.5,830
2,0.019,96.5,207
2,0.019,96.5,207
2,0.019,96.5,155
2,0.019,96.4,155
2,0.019,96.4,1442
2,0.019,96.4,1442
2,0.020,96.4,102
2,0.020,96.4,102
2,0.020,96.4,102
2,0.020,96.4,102
2,0.020,96.4,431
2,0.020,96.4,431
2,0.020,96.4,507
2,0.020,96.3,507
2,0.020,96.3,961
2,0.020,96.3,961
2,0.020,96.3,101
2,0.020,96.3,101
2,0.020,96.3,453
2,0.020,96.3,453
2,0.020,96.3,1886
2,0.020,96.3,1886
2,0.020,96.3,502
2,0.020,96.2,502
2,0.020,96.2,577
2,0.020,96.2,577
2,0.020,96.2,50
2,0.020,96.2,50
2,0.020,96.2,50
2,0.020,96.2,50
2,0.020,96.2,25
2,0.020,96.2,25
2,0.020,96.2,175
2,0.020,96.1,175
2,0.020,96.1,75
2,0.020,96.1,75
2,0.020,96.1,474
2,0.020,96.1,474
2,0.020,96.1,972
2,0.020,96.1,972
2,0.020,96.1,299
2,0.020,96.1,299
2,0.020,96.1,249
2,0.020,96.0,249
2,0.020,96.0,199
2,0.020,96.0,199
2,0.020,96.0,719
2,0.020,96.0,719
2,0.020,96.0,148
2,0.020,96.0,148
2,0.020,96.0,444
2,0.020,96.0,444
2,0.020,96.0,74
2,0.020,95.9,74
2,0.020,95.9,197
2,0.020,95.9,197
2,0.021,95.9,365
2,0.021,95.9,365
2,0.021,95.9,340
2,0.021,95.9,340
2,0.021,95.9,1132
2,0.021,95.9,1132
2,0.021,95.9,48
2,0.021,95.8,48
2,0.021,95.8,72
2,0.021,95.8,72
2,0.021,95.8,312
2,0.021,95.8,312
2,0.021,95.8,934
2,0.021,95.8,934
2,0.021,95.8,359
2,0.021,95.8,359
2,0.021,95.7,263
2,0.021,95.7,263
2,0.021,95.7,977
2,0.021,95.7,977
2,0.021,95.7,284
2,0.021,95.7,284
2,0.021,95.7,47
2,0.021,95.7,47
2,0.021,95.7,47
2,0.021,95.7,47
2,0.021,95.6,652
2,0.021,95.6,652
2,0.022,95.6,279
2,0.022,95.6,279
2,0.022,95.6,162
2,0.022,95.6,162
2,0.022,95.6,254
2,0.022,95.6,254
2,0.022,95.6,138
2,0.022,95.6,138
2,0.022,95.5,230
